N;alpha;beta;eps;expon_alpha;consensus_x;consensus_y;consensus_probabity;simulation_time;type;simulation_count
50.0;1.5;1.5;0.75;;201.1678854589761;199.04102385705923;400.0;1200.0;ONE_BETA;400.0
50.0;2.0;2.0;0.75;;200.5357835561955;199.45373966776444;400.0;1200.0;ONE_BETA;400.0
50.0;2.5;2.5;0.75;;199.0957290132264;200.94029973045537;400.0;1200.0;ONE_BETA;400.0
50.0;3.0;3.0;0.75;;199.45901312584172;200.78466701139047;400.0;1200.0;ONE_BETA;400.0
50.0;3.5;3.5;0.75;;200.04253668591107;199.71299554102893;400.0;1200.0;ONE_BETA;400.0
50.0;4.0;4.0;0.75;;199.38192608774668;199.3787792529208;400.0;1200.0;ONE_BETA;400.0
50.0;4.5;4.5;0.75;;199.51342887346385;200.1670841601457;400.0;1200.0;ONE_BETA;400.0
50.0;5.0;5.0;0.75;;200.19746963310385;200.5909467466616;400.0;1200.0;ONE_BETA;400.0
50.0;0.5;0.5;0.8;;200.90265000408772;199.86268459111665;400.0;1200.0;ONE_BETA;400.0
50.0;1.0;1.0;0.8;;199.08473765198343;199.11273939469848;400.0;1200.0;ONE_BETA;400.0
50.0;1.5;1.5;0.8;;199.8112217329195;199.42364071874627;400.0;1200.0;ONE_BETA;400.0
50.0;2.0;2.0;0.8;;200.1622977132629;200.1372946565368;400.0;1200.0;ONE_BETA;400.0
50.0;2.5;2.5;0.8;;200.20922479810724;199.45841914530288;400.0;1200.0;ONE_BETA;400.0
50.0;3.0;3.0;0.8;;199.620983177586;199.219417672596;400.0;1200.0;ONE_BETA;400.0
50.0;3.5;3.5;0.8;;199.95860187389903;200.4523408688841;400.0;1200.0;ONE_BETA;400.0
50.0;4.0;4.0;0.8;;199.738410005664;199.012225259388;400.0;1200.0;ONE_BETA;400.0
50.0;4.5;4.5;0.8;;200.0901984301706;199.9033040370946;400.0;1200.0;ONE_BETA;400.0
50.0;5.0;5.0;0.8;;200.09870638103703;199.5675090674844;400.0;1200.0;ONE_BETA;400.0
50.0;0.5;0.5;0.85;;201.35292025007485;200.19773064190537;400.0;1200.0;ONE_BETA;400.0
50.0;1.0;1.0;0.85;;201.12311748743247;200.63381648892687;400.0;1200.0;ONE_BETA;400.0
50.0;1.5;1.5;0.85;;199.6690040828252;199.1997178048164;400.0;1200.0;ONE_BETA;400.0
50.0;2.0;2.0;0.85;;199.25641830021067;201.3759080243813;400.0;1200.0;ONE_BETA;400.0
50.0;2.5;2.5;0.85;;201.04477655050005;200.29981764032684;400.0;1200.0;ONE_BETA;400.0
50.0;3.0;3.0;0.85;;199.85280385466675;200.71422050204384;400.0;1200.0;ONE_BETA;400.0
50.0;3.5;3.5;0.85;;199.0078612970826;201.3886782575319;400.0;1200.0;ONE_BETA;400.0
50.0;4.0;4.0;0.85;;200.3318638711605;200.0680482713899;400.0;1200.0;ONE_BETA;400.0
50.0;4.5;4.5;0.85;;199.64077834322285;199.7231466512217;400.0;1200.0;ONE_BETA;400.0
50.0;5.0;5.0;0.85;;199.902911083488;200.5718669893676;400.0;1200.0;ONE_BETA;400.0
50.0;0.5;0.5;0.9;;200.0253923306741;200.0473330467048;400.0;1200.0;ONE_BETA;400.0
50.0;1.0;1.0;0.9;;199.58579392274487;198.90284680296529;400.0;1200.0;ONE_BETA;400.0
50.0;1.5;1.5;0.9;;200.52199750870568;199.73449735079524;400.0;1200.0;ONE_BETA;400.0
50.0;2.0;2.0;0.9;;200.1034546444144;200.39303473608828;400.0;1200.0;ONE_BETA;400.0
50.0;2.5;2.5;0.9;;199.79096245053464;199.7849567626447;400.0;1199.0;ONE_BETA;400.0
50.0;3.0;3.0;0.9;;200.05964055324569;200.9637532338625;400.0;1200.0;ONE_BETA;400.0
50.0;3.5;3.5;0.9;;199.7576688058778;199.6913294183656;400.0;1199.0;ONE_BETA;400.0
50.0;4.0;4.0;0.9;;200.1054419388701;198.83589067702505;400.0;1197.0;ONE_BETA;400.0
50.0;4.5;4.5;0.9;;200.03725863407325;200.85776333092736;400.0;1196.0;ONE_BETA;400.0
50.0;5.0;5.0;0.9;;200.0116751743282;200.19327020270487;400.0;1198.0;ONE_BETA;400.0
50.0;0.5;0.5;0.95;;200.4360811798727;200.56659039513696;400.0;1200.0;ONE_BETA;400.0
50.0;1.0;1.0;0.95;;200.88393650028925;200.81219004027864;400.0;1200.0;ONE_BETA;400.0
50.0;1.5;1.5;0.95;;199.57768596850755;199.243855687239;400.0;1200.0;ONE_BETA;400.0
50.0;2.0;2.0;0.95;;200.2406722365994;198.3259047744614;400.0;1200.0;ONE_BETA;400.0
50.0;2.5;2.5;0.95;;200.6946693973228;200.0996085972732;400.0;1199.0;ONE_BETA;400.0
50.0;3.0;3.0;0.95;;199.67592136943503;200.2672207958095;400.0;1197.0;ONE_BETA;400.0
50.0;3.5;3.5;0.95;;200.3227121591195;198.33362928050272;400.0;1196.0;ONE_BETA;400.0
50.0;4.0;4.0;0.95;;200.34288833501984;200.51175698624857;400.0;1186.0;ONE_BETA;400.0
50.0;4.5;4.5;0.95;;199.5661818285465;200.07156937137583;400.0;1179.0;ONE_BETA;400.0
50.0;5.0;5.0;0.95;;200.16484100905708;199.52884461732785;400.0;1170.0;ONE_BETA;400.0
50.0;0.5;0.5;1.0;;201.04421714373228;200.6687322902984;400.0;1200.0;ONE_BETA;400.0
50.0;1.0;1.0;1.0;;200.6504116040964;200.9921797100667;400.0;1199.0;ONE_BETA;400.0
50.0;1.5;1.5;1.0;;198.80828479571176;201.7457590294433;400.0;1198.0;ONE_BETA;400.0
50.0;2.0;2.0;1.0;;201.20276515462493;199.77289000045388;400.0;1182.0;ONE_BETA;400.0
50.0;2.5;2.5;1.0;;200.6930046540409;200.0248497064522;400.0;1174.0;ONE_BETA;400.0
50.0;3.0;3.0;1.0;;200.0406382500309;199.16758139016727;400.0;1144.0;ONE_BETA;400.0
