N;confidence;eps1;eps2;consensus_x;consensus_y;consensus_probabity;simulation_time;cluster_data;simulation_count
50.0;ellipse;0.4;0.55;747.8820250305337;749.2935152585911;1496.0;6724.0;;1500.0
50.0;ellipse;0.45;0.45;746.7716741405752;750.7464918523373;1500.0;6558.0;;1500.0
50.0;ellipse;0.45;0.5;748.7835432246326;747.5016249413753;1499.0;6200.0;;1500.0
50.0;ellipse;0.45;0.55;749.2403594981705;751.8636912990097;1500.0;6091.0;;1500.0
50.0;ellipse;0.5;0.5;749.5246369239426;749.0097285104468;1500.0;6028.0;;1500.0
50.0;ellipse;0.5;0.55;751.1907982384206;749.207277892778;1500.0;5997.0;;1500.0
50.0;ellipse;0.55;0.55;746.4062933851902;749.0703069900761;1500.0;5956.0;;1500.0
50.0;rectangle;0.15;0.6;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.15;0.65;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.15;0.7;0.4772836578727829;0.4992878063623714;1.0;13.0;;900.0
50.0;rectangle;0.15;0.75;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.15;0.8;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.15;0.85;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.15;0.9;0.5314890147997965;0.5385172147615658;1.0;12.0;;900.0
50.0;rectangle;0.15;0.95;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.15;1.0;0.4543379934365482;0.5093892806079369;1.0;14.0;;900.0
50.0;rectangle;0.2;0.15;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.2;0.6;29.99689245720357;30.28703790384061;61.0;584.0;;900.0
50.0;rectangle;0.2;0.65;28.449667739474396;28.691953144921694;57.0;571.0;;900.0
50.0;rectangle;0.2;0.7;36.969495911403015;37.3191789353446;74.0;721.0;;900.0
50.0;rectangle;0.2;0.75;32.15989626836505;31.43677191086348;63.0;610.0;;900.0
50.0;rectangle;0.2;0.8;26.63039752027564;27.469202442679602;54.0;552.0;;900.0
50.0;rectangle;0.2;0.85;26.88242999938776;27.77111919018974;55.0;594.0;;900.0
50.0;rectangle;0.2;0.9;24.844714861179213;24.16613134484783;49.0;481.0;;900.0
50.0;rectangle;0.2;0.95;22.919635808481818;22.340378104717992;45.0;422.0;;900.0
50.0;rectangle;0.2;1.0;31.894138512523796;31.904604448359816;64.0;643.0;;900.0
50.0;rectangle;0.25;0.15;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.25;0.2;5.722427305501284;5.671444261280206;11.0;134.0;;900.0
50.0;rectangle;0.25;0.6;217.52912901989146;216.61985049858205;429.0;3596.0;;900.0
50.0;rectangle;0.25;0.65;197.86825781316506;198.26470969154158;396.0;3190.0;;900.0
50.0;rectangle;0.25;0.7;213.16133165474326;213.93899506582824;426.0;3392.0;;900.0
50.0;rectangle;0.25;0.75;202.44005923690722;202.18901176653037;404.0;3261.0;;900.0
