N;alpha;eps;consensus_x;consensus_y;consensus_probabity;simulation_time;simulation_count
50;2.5;0.5;28.664067869490804;29.199526408996306;98;396;100.0
50;2.5;0.55;29.639280227768918;29.72877378277333;100;379;100.0
50;2.5;0.6;30.093147020112163;30.265637611438972;100;335;100.0
50;2.5;0.65;29.955677945880023;30.261005675240295;100;304;100.0
50;2.5;0.7;30.08067634311955;29.69034448455451;100;301;100.0
50;2.5;0.75;30.306424885819442;30.47836772748804;100;300;100.0
50;2.5;0.8;30.62362086939455;31.147184691330406;100;300;100.0
50;2.5;0.85;30.459160016376305;30.11438627091436;100;300;100.0
50;2.5;0.9;30.589675910374673;31.040172508502064;100;300;100.0
50;2.5;0.95;30.29956482147255;30.639806815334833;100;300;100.0
50;2.5;1.0;30.970120555370872;31.19044629600567;100;298;100.0
50;3.0;0.15;0;0;0;0;100.0
50;3.0;0.2;0;0;0;0;100.0
50;3.0;0.25;0.2625008507687431;0.2314361755107618;1;8;100.0
50;3.0;0.3;2.0959194822666043;2.3110822926829027;9;61;100.0
50;3.0;0.35;11.373470270098638;11.522537579229152;44;263;100.0
50;3.0;0.4;19.337952832373887;19.88931656687236;75;379;100.0
50;3.0;0.45;23.153171819842473;23.12865472235007;89;389;100.0
50;3.0;0.5;25.65698492165826;25.604538453797634;98;398;100.0
50;3.0;0.55;26.49416938290586;26.18592856149826;99;374;100.0
50;3.0;0.6;26.882345363050362;26.80780182428679;99;324;100.0
50;3.0;0.65;26.774887497601775;27.0305380970033;100;306;100.0
50;3.0;0.7;27.10434085782743;27.301896508845793;100;301;100.0
50;3.0;0.75;27.1086343435092;27.065831042624865;100;300;100.0
50;3.0;0.8;27.99565518800581;27.16688250446463;100;300;100.0
50;3.0;0.85;27.108694290496903;27.493939810669215;100;300;100.0
50;3.0;0.9;27.907731156496936;27.329732424954045;100;298;100.0
50;3.0;0.95;27.568742040350674;28.124540225239034;100;298;100.0
50;3.0;1.0;27.734767915401953;27.9356716150854;100;291;100.0
50;3.5;0.15;0;0;0;0;100.0
50;3.5;0.2;0;0;0;0;100.0
50;3.5;0.25;0.22606367286114357;0.27667206923863324;1;8;100.0
50;3.5;0.3;2.33226666068787;2.3390508490833515;10;59;100.0
50;3.5;0.35;9.256375446829908;9.348005586028023;39;216;100.0
50;3.5;0.4;17.009609386733196;16.89495905743884;72;342;100.0
50;3.5;0.45;21.305571813812122;21.175617596047683;90;380;100.0
50;3.5;0.5;23.058841942458297;23.580873903967234;97;379;100.0
50;3.5;0.55;23.80455102922338;22.748029931068483;99;354;100.0
50;3.5;0.6;24.324622402566618;23.91990422215863;99;328;100.0
50;3.5;0.65;24.496213305984373;24.4796356719053;100;301;100.0
50;3.5;0.7;25.008356197691732;24.965072570330825;100;301;100.0
50;3.5;0.75;25.401059703278374;24.855927889723823;100;300;100.0
50;3.5;0.8;24.919934658811307;25.277687172866248;100;299;100.0
50;3.5;0.85;24.39042214710864;25.329067856094593;100;297;100.0
50;3.5;0.9;24.982153098010656;25.16134418079595;100;298;100.0
50;3.5;0.95;25.007656824878676;25.641801167889746;100;292;100.0
50;3.5;1.0;25.21741026914459;25.483867202145237;100;280;100.0
50;4.0;0.15;0;0;0;0;100.0
50;4.0;0.2;0;0;0;0;100.0
50;4.0;0.25;0.195284552854866;0.22218669903515187;1;6;100.0
